email_id,sender,receiver,subject,body,category,priority,source,text,clean_text
H015,placement@nirmaya.edu,nupur@iris-mail.com,Company Representatives Arrived Early - Report Now,"Nupur,
 
 The company representatives for today's placement drive arrived earlier than planned. All shortlisted students for the Group Discussion must report to Seminar Hall 2 within the next 30 minutes with their resumes, or names will be dropped from today's list.
 
 Placement Office, Nirmaya Institute",Job/Internship,HIGH,Synthetic,"Company Representatives Arrived Early - Report Now Nupur,
 
 The company representatives for today's placement drive arrived earlier than planned. All shortlisted students for the Group Discussion must report to Seminar Hall 2 within the next 30 minutes with their resumes, or names will be dropped from today's list.
 
 Placement Office, Nirmaya Institute",company representative arrived early - report nupur company representative today placement drive arrived earlier planned shortlisted student group discussion must report to seminar hall 2 within next 30 minute resume name dropped from today list placement office nirmaya institute
H016,anil.rao@nirmaya.edu,nupur@iris-mail.com,Project Synopsis Submission Closes Tonight,"Dear Nupur,
 
 This is a reminder that the project synopsis upload link on the portal closes tonight at 11:59 PM. No extensions will be granted this time as the review committee meets first thing tomorrow morning.
 
 Dr. Anil Rao
 Project Coordinator, Nirmaya Institute",Academic,HIGH,Synthetic,"Project Synopsis Submission Closes Tonight Dear Nupur,
 
 This is a reminder that the project synopsis upload link on the portal closes tonight at 11:59 PM. No extensions will be granted this time as the review committee meets first thing tomorrow morning.
 
 Dr. Anil Rao
 Project Coordinator, Nirmaya Institute",project synopsis submission close tonight dear nupur reminder project synopsis upload link on portal close tonight at 11:59 pm no extension granted time review committee meet first thing tomorrow morning dr anil rao project coordinator nirmaya institute
H017,anil.rao@nirmaya.edu,nupur@iris-mail.com,Re: Extension Request for Your Assignment,"Hi Nupur,
 
 I can give you until tomorrow noon, not beyond that, because I have to submit the consolidated marks to the exam cell by 2 PM. Please make sure the plagiarism report is also attached when you upload the file.
 
 Prof. Anil Rao",Academic,HIGH,Synthetic,"Re: Extension Request for Your Assignment Hi Nupur,
 
 I can give you until tomorrow noon, not beyond that, because I have to submit the consolidated marks to the exam cell by 2 PM. Please make sure the plagiarism report is also attached when you upload the file.
 
 Prof. Anil Rao",: extension request assignment hi nupur give until tomorrow noon not beyond to submit consolidated mark to exam cell by 2 pm please make sure plagiarism report also attached upload file prof anil rao
H018,anil.rao@nirmaya.edu,nupur@iris-mail.com,Viva Voce Moved to Tomorrow,"Nupur,
 
 Your project viva has been moved up to tomorrow at 10 AM instead of next week because the external examiner's travel dates changed. Please have your printed report, certificate, and a working demo ready without fail.
 
 Dr. Anil Rao",Academic,HIGH,Synthetic,"Viva Voce Moved to Tomorrow Nupur,
 
 Your project viva has been moved up to tomorrow at 10 AM instead of next week because the external examiner's travel dates changed. Please have your printed report, certificate, and a working demo ready without fail.
 
 Dr. Anil Rao",viva voce moved to tomorrow nupur project viva moved to tomorrow at 10 am instead next week external examiner travel date changed please printed report certificate working demo ready without fail dr anil rao
H019,examcell@nirmaya.edu,nupur@iris-mail.com,Backlog Exam Form - Last Date Tomorrow,"Dear Nupur,
 
 Our records show you have not yet filled the backlog exam form for Data Structures. The last date to submit with the normal fee is tomorrow. After that a late fee applies, and after two more days the form will not be accepted at all.
 
 Examination Section, Nirmaya Institute",Academic,HIGH,Synthetic,"Backlog Exam Form - Last Date Tomorrow Dear Nupur,
 
 Our records show you have not yet filled the backlog exam form for Data Structures. The last date to submit with the normal fee is tomorrow. After that a late fee applies, and after two more days the form will not be accepted at all.
 
 Examination Section, Nirmaya Institute",backlog exam form - last date tomorrow dear nupur record show not yet filled backlog exam form data structure last date to submit normal fee tomorrow after late fee applies after two day form not accepted at examination section nirmaya institute
H020,accounts@nirmaya.edu,nupur@iris-mail.com,Fee Payment Deadline for Semester Exam,"Dear Nupur,
 
 Semester exam admit cards will not be generated for students with pending fees after tomorrow. Please clear the outstanding amount at the accounts office before 3 PM to avoid being marked as ineligible for the exams starting next week.
 
 Accounts Office, Nirmaya Institute",Academic,HIGH,Synthetic,"Fee Payment Deadline for Semester Exam Dear Nupur,
 
 Semester exam admit cards will not be generated for students with pending fees after tomorrow. Please clear the outstanding amount at the accounts office before 3 PM to avoid being marked as ineligible for the exams starting next week.
 
 Accounts Office, Nirmaya Institute",fee payment deadline semester exam dear nupur semester exam admit card not generated student pending fee after tomorrow please clear outstanding amount at account office before 3 pm to avoid marked ineligible exam starting next week account office nirmaya institute
H021,ayesha.friend@gmail.example,nupur@iris-mail.com,Group Project - Need the Code Tonight,"Hey Nupur,
 
 Sir asked to see a working demo tomorrow morning before the review starts, so whatever pending modules you have please push to the repo by tonight. If the login and dashboard modules are not merged by then we will not have anything to show.
 
 Ayesha",Academic,HIGH,Synthetic,"Group Project - Need the Code Tonight Hey Nupur,
 
 Sir asked to see a working demo tomorrow morning before the review starts, so whatever pending modules you have please push to the repo by tonight. If the login and dashboard modules are not merged by then we will not have anything to show.
 
 Ayesha",group project - need code tonight hey nupur sir asked to see working demo tomorrow morning before review start whatever pending module please push to repo by tonight login dashboard module not merged by not anything to show ayesha
H022,scholarships@nirmaya.edu,nupur@iris-mail.com,Scholarship Form - Final Reminder,"Dear Nupur,
 
 Your merit scholarship application is incomplete because the income certificate has not been uploaded. The portal closes at midnight today and there is no provision to reopen it for this academic year once it closes.
 
 Scholarship Cell, Nirmaya Institute",Academic,HIGH,Synthetic,"Scholarship Form - Final Reminder Dear Nupur,
 
 Your merit scholarship application is incomplete because the income certificate has not been uploaded. The portal closes at midnight today and there is no provision to reopen it for this academic year once it closes.
 
 Scholarship Cell, Nirmaya Institute",scholarship form - final reminder dear nupur merit scholarship application incomplete income certificate not uploaded portal close at midnight today no provision to reopen academic year close scholarship cell nirmaya institute
H023,meenakshi.iyer@nirmaya.edu,nupur@iris-mail.com,Attendance Shortage - Meet HOD Tomorrow,"Dear Nupur,
 
 Your attendance in Computer Networks has fallen below the required 75 percent. You are required to meet the HOD tomorrow between 11 AM and 1 PM with a written explanation, failing which you may be detained from the upcoming semester exam.
 
 Office of the HOD, Nirmaya Institute",Academic,HIGH,Synthetic,"Attendance Shortage - Meet HOD Tomorrow Dear Nupur,
 
 Your attendance in Computer Networks has fallen below the required 75 percent. You are required to meet the HOD tomorrow between 11 AM and 1 PM with a written explanation, failing which you may be detained from the upcoming semester exam.
 
 Office of the HOD, Nirmaya Institute",attendance shortage - meet hod tomorrow dear nupur attendance computer network fallen required 75 percent required to meet hod tomorrow between 11 am 1 pm written explanation failing may detained from upcoming semester exam office hod nirmaya institute
H024,vandana.shah@nirmaya.edu,nupur@iris-mail.com,Thesis Draft Comments - Action Needed Before Submission,"Hi Nupur,
 
 I have reviewed your draft and a few sections need rewriting before the plagiarism check, otherwise it will get flagged. Since the final submission window closes in two days, please revise and send it back to me by tomorrow evening so there is time for one more pass.
 
 Dr. Vandana Shah",Academic,HIGH,Synthetic,"Thesis Draft Comments - Action Needed Before Submission Hi Nupur,
 
 I have reviewed your draft and a few sections need rewriting before the plagiarism check, otherwise it will get flagged. Since the final submission window closes in two days, please revise and send it back to me by tomorrow evening so there is time for one more pass.
 
 Dr. Vandana Shah",thesis draft comment - action needed before submission hi nupur reviewed draft section need rewriting before plagiarism check otherwise get flagged since final submission window close two day please revise send back to by tomorrow evening time one pas dr vandana shah
H025,labincharge@nirmaya.edu,nupur@iris-mail.com,Lab File Submission Tomorrow - Pages Missing,"Dear Nupur,
 
 Your DBMS lab file is missing the last three experiments. Files are being collected tomorrow morning at 9 AM sharp for internal marks and no submissions will be accepted after the practical exam begins.
 
 Lab Instructor, Nirmaya Institute",Academic,HIGH,Synthetic,"Lab File Submission Tomorrow - Pages Missing Dear Nupur,
 
 Your DBMS lab file is missing the last three experiments. Files are being collected tomorrow morning at 9 AM sharp for internal marks and no submissions will be accepted after the practical exam begins.
 
 Lab Instructor, Nirmaya Institute",lab file submission tomorrow - page missing dear nupur dbms lab file missing last three experiment file collected tomorrow morning at 9 am sharp internal mark no submission accepted after practical exam begin lab instructor nirmaya institute
H026,academics@nirmaya.edu,nupur@iris-mail.com,Semester Registration Still Pending,"Hi Nupur,
 
 Our records show your semester registration is still pending on the ERP. Classes officially start Monday and unregistered students will not get access to course materials or attendance. Please complete it before the office closes today.
 
 Academic Office, Nirmaya Institute",Academic,HIGH,Synthetic,"Semester Registration Still Pending Hi Nupur,
 
 Our records show your semester registration is still pending on the ERP. Classes officially start Monday and unregistered students will not get access to course materials or attendance. Please complete it before the office closes today.
 
 Academic Office, Nirmaya Institute",semester registration still pending hi nupur record show semester registration still pending on erp class officially start monday unregistered student not get access to course material attendance please complete before office close today academic office nirmaya institute
H027,examcell@nirmaya.edu,nupur@iris-mail.com,Internal Marks Dispute - Respond by Tomorrow,"Dear Nupur,
 
 You have raised a query regarding your internal assessment marks. The moderation committee meets tomorrow afternoon to finalize marks before they go to the university. If you wish to present your case, please come to the department office before 11 AM tomorrow.
 
 Exam Coordinator, Nirmaya Institute",Academic,HIGH,Synthetic,"Internal Marks Dispute - Respond by Tomorrow Dear Nupur,
 
 You have raised a query regarding your internal assessment marks. The moderation committee meets tomorrow afternoon to finalize marks before they go to the university. If you wish to present your case, please come to the department office before 11 AM tomorrow.
 
 Exam Coordinator, Nirmaya Institute",internal mark dispute - respond by tomorrow dear nupur raised query regarding internal assessment mark moderation committee meet tomorrow afternoon to finalize mark before go to university wish to present case please come to department office before 11 am tomorrow exam coordinator nirmaya institute
H028,warden@nirmaya.edu,nupur@iris-mail.com,Hostel Fee and Exam Eligibility,"Dear Nupur,
 
 Students with pending hostel dues will not be issued hall tickets for the upcoming exams. The finance office closes for the week after tomorrow, so please clear your dues before then to avoid missing your first paper.
 
 Warden's Office, Nirmaya Institute",Academic,HIGH,Synthetic,"Hostel Fee and Exam Eligibility Dear Nupur,
 
 Students with pending hostel dues will not be issued hall tickets for the upcoming exams. The finance office closes for the week after tomorrow, so please clear your dues before then to avoid missing your first paper.
 
 Warden's Office, Nirmaya Institute",hostel fee exam eligibility dear nupur student pending hostel due not issued hall ticket upcoming exam finance office close week after tomorrow please clear due before to avoid missing first paper warden office nirmaya institute
H029,rohan.classmate@gmail.example,nupur@iris-mail.com,Re: Need Your Slides Before the Seminar,"Hi Nupur,
 
 The seminar has been moved up to tomorrow because the guest faculty is only available this week. Please send me your slides tonight so I can compile everything into one deck before the morning session.
 
 Rohan",Academic,HIGH,Synthetic,"Re: Need Your Slides Before the Seminar Hi Nupur,
 
 The seminar has been moved up to tomorrow because the guest faculty is only available this week. Please send me your slides tonight so I can compile everything into one deck before the morning session.
 
 Rohan",: need slide before seminar hi nupur seminar moved to tomorrow guest faculty available week please send slide tonight compile everything one deck before morning session rohan
H030,anil.rao@nirmaya.edu,nupur@iris-mail.com,Re: Viva Confirmed - Bring Original Certificates,"Nupur,
 
 Just confirming for tomorrow's viva at 10 AM, please also bring your original degree certificates from previous semesters along with the project report, the external examiner specifically asked to see them this time.
 
 Dr. Anil Rao",Academic,HIGH,Synthetic,"Re: Viva Confirmed - Bring Original Certificates Nupur,
 
 Just confirming for tomorrow's viva at 10 AM, please also bring your original degree certificates from previous semesters along with the project report, the external examiner specifically asked to see them this time.
 
 Dr. Anil Rao",: viva confirmed - bring original certificate nupur confirming tomorrow viva at 10 am please also bring original degree certificate from previous semester along project report external examiner specifically asked to see time dr anil rao
H031,vikram.lead@cloudberry.example,nupur@iris-mail.com,Client Escalation - Need Your Input Today,"Hi Nupur,
 
 The client flagged a critical bug in production and is asking for a root cause by end of day. Can you check the payment gateway logs and send me your findings before 5 PM so I can join the client call at 6?
 
 Thanks,
 Vikram",Work/Project,HIGH,Synthetic,"Client Escalation - Need Your Input Today Hi Nupur,
 
 The client flagged a critical bug in production and is asking for a root cause by end of day. Can you check the payment gateway logs and send me your findings before 5 PM so I can join the client call at 6?
 
 Thanks,
 Vikram",client escalation - need input today hi nupur client flagged critical bug production asking root cause by end day check payment gateway log send finding before 5 pm join client call at 6 thanks vikram
H032,ops@cloudberry.example,nupur@iris-mail.com,Server Downtime - Fix Needed Now,"Nupur,
 
 The checkout service has been throwing errors since 2 AM and orders are failing. This is affecting live customers right now. If you are available, please join the incident bridge immediately, this cannot wait until the morning standup.
 
 Ops Team, Cloudberry Systems",Work/Project,HIGH,Synthetic,"Server Downtime - Fix Needed Now Nupur,
 
 The checkout service has been throwing errors since 2 AM and orders are failing. This is affecting live customers right now. If you are available, please join the incident bridge immediately, this cannot wait until the morning standup.
 
 Ops Team, Cloudberry Systems",server downtime - fix needed nupur checkout service throwing error since 2 am order failing affecting live customer right available please join incident bridge immediately not wait until morning standup ops team cloudberry system
H033,ramesh.vp@cloudberry.example,nupur@iris-mail.com,Board Presentation Moved to Tomorrow Morning,"Hi Nupur,
 
 The board meeting got moved up a full week and is now tomorrow at 9 AM. I need the updated revenue slides and churn numbers tonight so I can review them before I present.
 
 Regards,
 Ramesh, VP Sales",Work/Project,HIGH,Synthetic,"Board Presentation Moved to Tomorrow Morning Hi Nupur,
 
 The board meeting got moved up a full week and is now tomorrow at 9 AM. I need the updated revenue slides and churn numbers tonight so I can review them before I present.
 
 Regards,
 Ramesh, VP Sales",board presentation moved to tomorrow morning hi nupur board meeting got moved full week tomorrow at 9 am need updated revenue slide churn number tonight review before present regard ramesh vp sale
H034,alok.legal@cloudberry.example,nupur@iris-mail.com,Contract Needs Your Sign Off Before Noon,"Hi Nupur,
 
 Legal has approved the vendor contract but it needs to be reviewed and signed off before noon today, otherwise the vendor said they will offer the discounted rate to another client instead. Can you take a look at page 3?
 
 Best,
 Alok",Work/Project,HIGH,Synthetic,"Contract Needs Your Sign Off Before Noon Hi Nupur,
 
 Legal has approved the vendor contract but it needs to be reviewed and signed off before noon today, otherwise the vendor said they will offer the discounted rate to another client instead. Can you take a look at page 3?
 
 Best,
 Alok",contract need sign before noon hi nupur legal approved vendor contract need to reviewed signed before noon today otherwise vendor said offer discounted rate to another client instead take look at page 3 best alok
H035,release@cloudberry.example,nupur@iris-mail.com,Production Deployment Window Closing Soon,"Hi Nupur,
 
 Our deployment window with the infra team closes in two hours. If the release build is not ready by then we lose the slot and have to wait until next week, which pushes the client launch date. Please confirm build status now.
 
 Release Manager",Work/Project,HIGH,Synthetic,"Production Deployment Window Closing Soon Hi Nupur,
 
 Our deployment window with the infra team closes in two hours. If the release build is not ready by then we lose the slot and have to wait until next week, which pushes the client launch date. Please confirm build status now.
 
 Release Manager",production deployment window closing soon hi nupur deployment window infra team close two hour release build not ready by lose slot to wait until next week push client launch date please confirm build status release manager
H036,priyanka.finance@cloudberry.example,nupur@iris-mail.com,Manager Needs the Numbers Before His Flight,"Hey Nupur,
 
 My manager is boarding a flight in three hours and wants the quarterly numbers finalized before he lands since he is presenting them first thing tomorrow. Could you send the updated sheet as soon as it's ready?
 
 Thanks,
 Priyanka",Work/Project,HIGH,Synthetic,"Manager Needs the Numbers Before His Flight Hey Nupur,
 
 My manager is boarding a flight in three hours and wants the quarterly numbers finalized before he lands since he is presenting them first thing tomorrow. Could you send the updated sheet as soon as it's ready?
 
 Thanks,
 Priyanka",manager need number before flight hey nupur manager boarding flight three hour want quarterly number finalized before land since presenting first thing tomorrow could send updated sheet soon ready thanks priyanka
H037,finance@cloudberry.example,nupur@iris-mail.com,Budget Approval Closes Today,"Hi Nupur,
 
 Finance is closing this quarter's budget approvals at 6 PM today. If your team's request is not submitted with proper justification before then, it rolls over to next quarter and you may not get the allocation in time for the project.
 
 Finance Team, Cloudberry Systems",Work/Project,HIGH,Synthetic,"Budget Approval Closes Today Hi Nupur,
 
 Finance is closing this quarter's budget approvals at 6 PM today. If your team's request is not submitted with proper justification before then, it rolls over to next quarter and you may not get the allocation in time for the project.
 
 Finance Team, Cloudberry Systems",budget approval close today hi nupur finance closing quarter budget approval at 6 pm today team request not submitted proper justification before roll over to next quarter may not get allocation time project finance team cloudberry system
H038,kunal.colleague@gmail.example,nupur@iris-mail.com,Re: Can You Cover My Shift Tonight,"Hey Nupur,
 
 I just got a call that my father was admitted to the hospital and I need to leave right now. Could you cover my on call shift tonight? I am really sorry for the last minute ask, I would not do this if it wasn't serious.
 
 Kunal",Work/Project,HIGH,Synthetic,"Re: Can You Cover My Shift Tonight Hey Nupur,
 
 I just got a call that my father was admitted to the hospital and I need to leave right now. Could you cover my on call shift tonight? I am really sorry for the last minute ask, I would not do this if it wasn't serious.
 
 Kunal",: cover shift tonight hey nupur got call father admitted to hospital need to leave right could cover on call shift tonight am really sorry last minute ask would not serious kunal
H039,itsecurity@cloudberry.example,nupur@iris-mail.com,Data Access Investigation - Need Logs Now,"Hi Nupur,
 
 Security has flagged unusual access patterns on the customer database starting this morning. We need the access logs from your team pulled and shared within the hour so we can determine whether this is a genuine breach.
 
 IT Security, Cloudberry Systems",Work/Project,HIGH,Synthetic,"Data Access Investigation - Need Logs Now Hi Nupur,
 
 Security has flagged unusual access patterns on the customer database starting this morning. We need the access logs from your team pulled and shared within the hour so we can determine whether this is a genuine breach.
 
 IT Security, Cloudberry Systems",data access investigation - need log hi nupur security flagged unusual access pattern on customer database starting morning need access log from team pulled shared within hour determine whether genuine breach security cloudberry system
H040,suresh.vendor@partsupply.example,nupur@iris-mail.com,"Re: Vendor Payment Stuck, Factory Waiting","Hi Nupur,
 
 The vendor has paused production because last month's payment has not cleared. They said if it is not resolved by tomorrow they will push our order to the back of the queue, which would delay the launch by weeks.
 
 Regards,
 Suresh",Work/Project,HIGH,Synthetic,"Re: Vendor Payment Stuck, Factory Waiting Hi Nupur,
 
 The vendor has paused production because last month's payment has not cleared. They said if it is not resolved by tomorrow they will push our order to the back of the queue, which would delay the launch by weeks.
 
 Regards,
 Suresh",: vendor payment stuck factory waiting hi nupur vendor paused production last month payment not cleared said not resolved by tomorrow push order to back queue would delay launch by week regard suresh
